Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1_Front1,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,228.765672,-94.144,180.0,top
D2_Right1,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,246.271672,-92.397,90.0,top
D3_Left1,TSAL4400,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_IRBlack,206.393672,-97.985,-90.0,top
D6_Front1,BPW41N,DIO_BPW41N,223.411672,-92.397,180.0,top
D6_Left1,BPW41N,DIO_BPW41N,205.115672,-92.0695,-90.0,top
D6_Right1,BPW41N,DIO_BPW41N,247.15,-98.6655,90.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,224.038,-121.407,90.0,bottom
JP3,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,248.848672,-110.939,180.0,top
JP6,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,210.674672,-102.811,180.0,top
JP9,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,249.065672,-106.404,90.0,top
JP11,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,212.743672,-106.113,180.0,top
JP15,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,214.521672,-99.038,-90.0,top
JP16,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,231.539672,-102.303,-90.0,top
JP16RO1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,226.459672,-110.14,-90.0,top
JP17FO1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,211.981672,-110.685,-90.0,top
JP18LO1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,226.205672,-106.33,-90.0,top
Q1,C2150,SOT-23,242.891172,-104.909,0.0,top
Q2,C2150,SOT-23,237.557172,-92.905,180.0,top
Q3,C2150,SOT-23,213.681172,-115.257,180.0,top
Q4,C2150,SOT-23,226.127172,-99.951,0.0,top
Q5,C2150,SOT-23,244.923172,-114.777459,0.0,top
Q6,C2150,SOT-23,213.330172,-92.077,180.0,top
R1,6.2k,R_0201_0603Metric,241.257672,-96.715,180.0,top
R2,6.2k,R_0201_0603Metric,237.889672,-100.271,180.0,top
R3,20,R_0201_0603Metric,236.528672,-96.461,180.0,top
R4,20,R_0201_0603Metric,233.363672,-93.159,90.0,top
R5,6.2k,R_0201_0603Metric,218.331672,-115.765,180.0,top
R6,20,R_0201_0603Metric,209.507672,-93.413,180.0,top
R7,6.2k,R_0201_0603Metric,221.059672,-107.383,180.0,top
R8,300k,R_0201_0603Metric,216.462672,-94.429,0.0,top
R9,6.2k,R_0201_0603Metric,240.175672,-113.824,90.0,top
R10,300k,R_0201_0603Metric,246.525672,-103.639,-90.0,top
R11,6.2k,R_0201_0603Metric,218.748672,-107.383,180.0,top
R12,300k,R_0201_0603Metric,214.267672,-103.573,0.0,top
TP1,TestPoint,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,241.699672,-99.255,180.0,top
TP2,TestPoint,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,204.216,-119.634,180.0,top
TP3,TestPoint,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,234.841672,-99.001,180.0,top
TP4,TestPoint,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,222.903672,-99.255,180.0,top
TP5,TestPoint,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,246.271672,-107.129,180.0,top
TP6,TestPoint,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,209.695672,-90.873,180.0,top
U1,OP07,SOIC-8_3.9x4.9mm_P1.27mm,217.126672,-110.558,180.0,top
U2,OP07,SOIC-8_3.9x4.9mm_P1.27mm,236.365672,-109.669,0.0,top
U3,OP07,SOIC-8_3.9x4.9mm_P1.27mm,224.649836,-114.9255,180.0,top
