Comment,Designator,Footprint,LCSC
100nF,C5,C_0805_2012Metric,
100nF,C4,C_0805_2012Metric,
100k,R4,R_0805_2012Metric,
DRV8837,U5,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,
RED,D1,LED_0805_2012Metric,
3k,R3,R_0805_2012Metric,
10uF,C2,C_0805_2012Metric,
100nF,C3,C_0805_2012Metric,
1nF,C9,C_0805_2012Metric,
1k,R1,R_0805_2012Metric,
DRV8837,U4,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,
1k,R2,R_0805_2012Metric,
10uF,C1,C_0805_2012Metric,
100k,R5,R_0805_2012Metric,
SW_SPDT_312,SW1,mySwitch,
100nF,C6,C_0805_2012Metric,
TP4056,U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,
WHITE,D2,LED_0603_1608Metric,
