Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,185.2,-63.57,180.0,top
C2,10uF,C_0805_2012Metric,187.75,-54.86,0.0,top
C3,100nF,C_0805_2012Metric,177.41,-56.68,0.0,top
C4,100nF,C_0805_2012Metric,177.51,-59.24,0.0,top
C5,100nF,C_0805_2012Metric,177.32,-53.47,0.0,top
C6,100nF,C_0805_2012Metric,184.07,-58.21,0.0,top
C9,1nF,C_0805_2012Metric,201.63,-60.51,0.0,top
D1,RED,LED_0805_2012Metric,200.3275,-65.79,0.0,top
D2,WHITE,LED_0603_1608Metric,192.08,-65.12,0.0,top
J1,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,189.455,-48.625,90.0,bottom
J2,Conn_01x02_Pin,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,200.81,-55.97,-90.0,top
R1,1k,R_0805_2012Metric,187.8475,-65.73,180.0,top
R2,1k,R_0805_2012Metric,196.5875,-65.21,180.0,top
R3,3k,R_0805_2012Metric,191.77,-54.8475,90.0,top
R4,100k,R_0805_2012Metric,198.5575,-63.24,0.0,top
R5,100k,R_0805_2012Metric,202.0775,-63.7,0.0,top
SW1,SW_SPDT_312,mySwitch,181.97,-58.4337,0.0,top
TP1,B+,TestPoint_Pad_D1.0mm,195.73,-61.56,0.0,top
TP4,BATT,TestPoint_Pad_D1.0mm,180.88,-58.79,0.0,top
TP5,+5V,TestPoint_Pad_D1.0mm,195.9,-58.41,0.0,top
U1,TP4056,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm,190.74,-60.76,0.0,top
U4,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,184.25,-54.73,0.0,top
U5,DRV8837,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,194.44,-54.75,180.0,top
